bundle_created_at,app_src,app_dst,mart_src_dir,mart_dst_dir,copied_detail_parquet,copied_detail_csv,copied_daily_parquet,copied_daily_csv,commercial_detail_parquet,commercial_detail_csv,commercial_daily_parquet,commercial_daily_csv,ops_kpi_mtd_exists,ops_kpi_hist_exists,ops_truck_summary_exists,mart_comm_src_dir,mart_comm_dst_dir,copied_comm_files,mart_ops_src_dir,mart_ops_dst_dir,copied_ops_files
2026-02-16 15:42:35,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-16 15:59:36,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-18 08:12:18,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-18 09:13:59,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-18 13:56:59,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA
2026-02-19 07:59:47,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA
2026-02-19 13:49:01,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA
2026-02-19 15:20:47,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
2026-02-19 15:36:45,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,fact_wo_submission_detail.parquet;fact_wo_submission_detail.csv;fact_wo_submission_daily.parquet;fact_wo_submission_daily.csv,D:/FKS/14. Visibility/data/mart/ops,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/ops,fact_loc_compliance_detail_hist.csv;fact_loc_compliance_detail_mtd.csv;fact_loc_compliance_trend_mtd_cumulative.csv;fact_loc_execution_detail_mtd.csv;fact_loc_revenue_mtd.csv;fact_truck_utilization_daily.csv;fact_truck_utilization_summary_daily.csv;fact_truck_utilization_summary_daily_by_type.csv;kpi_loc_compliance_mtd.csv
2026-02-20 07:55:40,D:/FKS/14. Visibility/shiny/commercial_app/app.R,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/app.R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D:/FKS/14. Visibility/data/mart/commercial,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/commercial,fact_wo_submission_detail.parquet;fact_wo_submission_detail.csv;fact_wo_submission_daily.parquet;fact_wo_submission_daily.csv,D:/FKS/14. Visibility/data/mart/ops,D:/FKS/14. Visibility/shiny/commercial_app/publish_bundle/data/ops,fact_loc_compliance_detail_hist.csv;fact_loc_compliance_detail_mtd.csv;fact_loc_compliance_trend_mtd_cumulative.csv;fact_loc_execution_detail_mtd.csv;fact_loc_revenue_mtd.csv;fact_truck_utilization_daily.csv;fact_truck_utilization_summary_daily.csv;fact_truck_utilization_summary_daily_by_type.csv;kpi_loc_compliance_mtd.csv
