LOCFileNumber,order_office,OrderDate,CustomerName,snapshot_date,wo_count,has_wo_flag
LOC-1-2603-000024,FKSSBY,2026-03-01,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-1-2603-000033,FKSSBY,2026-03-01,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-1-2603-000034,FKSSBY,2026-03-01,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-1-2603-000108,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000109,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000110,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000111,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000112,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000113,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000114,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000115,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000116,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000117,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000118,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000119,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000120,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000121,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000122,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000123,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000124,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000125,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000126,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000127,FKSSBY,2026-03-03,PT.WAHANA INTRADERMAGA NIAGA,2026-03-30,1,1
LOC-1-2603-000128,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
LOC-1-2603-000129,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
LOC-1-2603-000130,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
LOC-1-2603-000131,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
LOC-1-2603-000132,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
LOC-1-2603-000133,FKSSBY,2026-03-03,PT. NEW HOPE JAWA TIMUR,2026-03-30,1,1
