order_office,OrderDate,loc_new,loc_new_with_wo,loc_mtd_cum,loc_mtd_with_wo_cum,loc_mtd_without_wo_cum,ops_compliance_rate_cum
FKSCLG,2026-04-01,24,24,24,24,0,1
FKSCLG,2026-04-02,47,47,71,71,0,1
FKSCLG,2026-04-03,2,2,73,73,0,1
FKSCLG,2026-04-04,37,37,110,110,0,1
FKSCLG,2026-04-05,21,21,131,131,0,1
FKSCLG,2026-04-06,47,47,178,178,0,1
FKSCLG,2026-04-07,40,36,218,214,4,0.981651376146789
FKSCLG,2026-04-08,24,24,242,238,4,0.9834710743801653
FKSCLG,2026-04-09,20,18,262,256,6,0.9770992366412213
FKSSBY,2026-04-01,9,9,9,9,0,1
FKSSBY,2026-04-02,3,3,12,12,0,1
FKSSBY,2026-04-04,14,14,26,26,0,1
FKSSBY,2026-04-06,13,13,39,39,0,1
FKSSBY,2026-04-07,62,62,101,101,0,1
FKSSBY,2026-04-08,5,5,106,106,0,1
FKSSBY,2026-04-09,165,165,271,271,0,1
